BCW_ID,Genus
BCW_200276,Klebsiella
BCW_200279,Enterobacter
BCW_200281,unassigned
BCW_200290,Pseudomonas
BCW_200294,unassigned
BCW_200302,unassigned
BCW_200307,unassigned
BCW_200308,unassigned
BCW_200311,Raoultella
BCW_200312,Enterococcus
BCW_200315,unassigned
BCW_200317,Enterobacter
BCW_200319,unassigned
BCW_200327,Serratia
BCW_200328,Agrobacterium
BCW_200432,Pseudomonas
BCW_200436,Pseudomonas
BCW_200437,unassigned
BCW_200438,Raoultella
BCW_200440,unassigned
BCW_200442,unassigned
BCW_200443,Pseudomonas
BCW_200444,unassigned
BCW_200446,unassigned
BCW_200449,unassigned
BCW_200458,Pseudomonas
BCW_200460,Pseudomonas
BCW_200462,unassigned
BCW_200464,Agrobacterium
BCW_200465,Agrobacterium
BCW_200470,unassigned
BCW_200471,Pseudomonas
BCW_200473,unassigned
BCW_200476,Pseudomonas
BCW_200477,Pseudomonas
BCW_200488,unassigned
BCW_200496,unassigned
BCW_200497,Pseudomonas
BCW_200498,unassigned
BCW_200499,unassigned
BCW_200505,Raoultella
BCW_200508,unassigned
BCW_200509,unassigned
BCW_200514,unassigned
BCW_200516,unassigned
BCW_200517,unassigned
BCW_200521,Raoultella
BCW_200525,unassigned
BCW_200526,unassigned
BCW_200527,Pseudomonas
BCW_200528,Pseudomonas
BCW_200529,unassigned
BCW_200533,Rhodococcus
BCW_200539,Citrobacter
BCW_200542,unassigned
BCW_200544,Serratia
BCW_200545,Rahnella
BCW_200547,Serratia
BCW_200552,Rahnella
BCW_200553,Klebsiella
BCW_200555,unassigned
BCW_200556,unassigned
BCW_200557.1,unassigned
BCW_200557.2,Pantoea
BCW_200559,Rahnella
BCW_200561,unassigned
BCW_200564,Rahnella
BCW_200565,Rahnella
BCW_200566,unassigned
BCW_200567,unassigned
BCW_200570,Stenotrophomonas
BCW_200574,Stenotrophomonas
BCW_200577,Raoultella
BCW_200578,Rahnella
BCW_200587,Stenotrophomonas
BCW_200588,Pseudomonas
BCW_200589,Stenotrophomonas
BCW_200596,unassigned
BCW_200598,unassigned
BCW_200599,Pseudomonas
BCW_200600,Raoultella
BCW_200607,Pseudomonas
BCW_200620,unassigned
BCW_200621,Pseudomonas
BCW_200624,unassigned
BCW_200634,unassigned
BCW_200641,unassigned
BCW_200642,Rahnella
BCW_200644,Rahnella
BCW_200646,Stenotrophomonas
BCW_200647,Rahnella
BCW_200648,Raoultella
BCW_200649,Rahnella
BCW_200650,Rahnella
BCW_200651,Klebsiella
BCW_200656,unassigned
BCW_200660,Klebsiella
BCW_200661,Klebsiella
BCW_200662,Klebsiella
BCW_200663,Agrobacterium
BCW_200665,Klebsiella
BCW_200667,Enterobacter
BCW_200669,Enterobacter
BCW_200704,Klebsiella
BCW_200705,Agrobacterium
BCW_200715,Rahnella
BCW_200716,Rahnella
BCW_200717,unassigned
BCW_200718,Rahnella
BCW_200722,unassigned
BCW_200723,Rahnella
BCW_200724,Rahnella
BCW_200725,Rahnella
BCW_200726,Rahnella
BCW_200727,unassigned
BCW_200735,unassigned
BCW_200736,Rahnella
BCW_200738,unassigned
BCW_200775,Klebsiella
BCW_200776,Klebsiella
BCW_200785,Pseudomonas
BCW_200790,Pseudomonas
BCW_200791,unassigned
BCW_200797,Rahnella
BCW_200798,Rahnella
BCW_200800,Rahnella
BCW_200801,Rahnella
BCW_200806,unassigned
BCW_200808,unassigned
BCW_200810,unassigned
BCW_200814,Rahnella
BCW_200815,Rahnella
BCW_200818,Rahnella
BCW_200820,unassigned
BCW_200821,Rahnella
BCW_200828,unassigned
BCW_200847,unassigned
BCW_200855,unassigned
BCW_200874,unassigned
BCW_200879,unassigned
BCW_200880,unassigned
BCW_200881,unassigned
BCW_200882,unassigned
BCW_200883,Enterobacter
BCW_200885,unassigned
BCW_200886,unassigned
BCW_200887,unassigned
BCW_200891,unassigned
BCW_200892,unassigned
BCW_200902,Agrobacterium
BCW_200903,unassigned
BCW_200904,Agrobacterium
BCW_200909,unassigned
BCW_200910,unassigned
BCW_200912,unassigned
BCW_200915,unassigned
BCW_200920,Agrobacterium
BCW_200926,unassigned
BCW_200931,unassigned
BCW_200938,Stenotrophomonas
BCW_200939,Stenotrophomonas
BCW_200944,unassigned
BCW_200945,Stenotrophomonas
BCW_200951,unassigned
BCW_200952,Pantoea
BCW_200955,unassigned
BCW_200973,unassigned
BCW_200983,Citrobacter
BCW_200984,Citrobacter
BCW_200986,Citrobacter
BCW_200988,unassigned
BCW_200989,unassigned
BCW_200990,unassigned
BCW_200991,unassigned
BCW_200993,Herbaspirillum
BCW_200994,unassigned
BCW_201007,unassigned
BCW_201008,Rahnella
BCW_201010,Rahnella
BCW_201013,Rahnella
BCW_201014,Rahnella
BCW_201019,Klebsiella
BCW_201020,Klebsiella
BCW_201021,Klebsiella
BCW_201024,Rahnella
BCW_201025,Rahnella
BCW_201028,Rahnella
BCW_201036,Rahnella
BCW_201044,unassigned
BCW_201045,unassigned
BCW_201051,Serratia
BCW_201054,Serratia
BCW_201056,Hafnia
BCW_201058,unassigned
BCW_201059,Rahnella
BCW_201070,Rahnella
BCW_201071,Raoultella
BCW_201075,Klebsiella
BCW_201078,Klebsiella
BCW_201079,Serratia
BCW_201081,Pantoea
BCW_201082,unassigned
BCW_201083,Citrobacter
BCW_201084,unassigned
BCW_201085,Serratia
BCW_201088,Rahnella
BCW_201090,unassigned
BCW_201091,Rahnella
BCW_201097,unassigned
BCW_201098,Klebsiella
BCW_201103,unassigned
BCW_201107,Klebsiella
BCW_201151,unassigned
BCW_201152,Citrobacter
BCW_201153,Serratia
BCW_201154,Citrobacter
BCW_201155,unassigned
BCW_201162,Rahnella
BCW_201173,unassigned
BCW_201175,Rahnella
BCW_201176,Rahnella
BCW_201184,Rahnella
BCW_201185,Serratia
BCW_201186,Rahnella
BCW_201187,Rahnella
BCW_201236,Hafnia
BCW_201238,Serratia
BCW_201245,unassigned
BCW_201248,unassigned
BCW_201257,Serratia
BCW_201258,unassigned
BCW_201259,Rahnella
BCW_201260,unassigned
BCW_201263,Klebsiella
BCW_201267,unassigned
BCW_201290,Pseudomonas
BCW_201292,Pseudomonas
BCW_201293,Pseudomonas
BCW_201297,Rahnella
BCW_201302,Rahnella
BCW_201303,Rahnella
BCW_201304,Rahnella
BCW_201315,Rahnella
BCW_201350,Serratia
BCW_201441,Klebsiella
BCW_201443,unassigned
BCW_201444,unassigned
BCW_201445,unassigned
BCW_201450,Hafnia
BCW_201453,Lactococcus
BCW_201461,unassigned
BCW_201614,Klebsiella
BCW_201615,Klebsiella
BCW_201620,Klebsiella
BCW_201648,Rahnella
BCW_201649,Raoultella
BCW_201653,Serratia
BCW_201654,Rahnella
BCW_201659,Enterobacter
BCW_201662,Serratia
BCW_201703,Klebsiella
BCW_201721,Enterobacter
BCW_201726,Enterobacter
BCW_201808,unassigned
BCW_201809,Serratia
BCW_201811,Enterobacter
BCW_201812,Enterobacter
BCW_201813,Meyerozyma
BCW_201814,Enterobacter
BCW_201815,Meyerozyma
BCW_201818,Meyerozyma
BCW_201819,Curtobacterium
BCW_201823,Meyerozyma
BCW_201824,Meyerozyma
BCW_201825,unassigned
